DATA_SNAPSHOT,ID_OPORTUNIDADE,CUSTOMER,VENDEDOR, TOTAL NET LVK (R$) ,ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,DATA DA ULTIMA ATUALIZAÇÃO,DATA DE FECHAMENTO,CHAVE,STATUS ANTERIOR
13/04/2026,OPP-VIA-0426-024,VIAÇÃO METRÓPOLE M'Boi Mirim,Bruno Reis," R$  2.800.000,00 ", Negociação ,,,50%,,13/04/2026,,,
03/04/2026,OPP-VIA-0426-027,VIAÇÃO METRÓPOLE M'Boi Mirim,Bruno Reis," R$ 2.800.000,00 ", Negociação , Aguardando interno ,Baixo,50%,,13/05/2026,,,
03/04/2026,OPP-VIA-0426-008,VIAÇÃO REDENTOR,Felipe Hanke," R$  2.500.000,00 ",,,,100%,,03/04/2026,,,13/05/2026
13/04/2026,OPP-VIA-0426-008,VIAÇÃO REDENTOR,Felipe Hanke," R$ 2.500.000,00 ", Negociação ,Aguardando cliente,,100%,"Proposta Comercial e Técnica enviada, Acompanhar grupo Gulim",13/04/2026,,,
03/04/2026,OPP-VIA-0426-008,VIAÇÃO REDENTOR,Felipe Hanke," R$  2.115.818,00 ",Fechamento,Aguardando cliente,,100%,"Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus",12/05/2026,,,
03/04/2026,OPP-VIA-0426-017,VIAÇÃO SANTA BRÍGIDA,Felipe Hanke,,,,,0%,,03/04/2026,,,12/05/2026
13/04/2026,OPP-VIA-0426-017,VIAÇÃO SANTA BRÍGIDA,Felipe Hanke,, Negociação ,Parado,,0%,"Tentar aproximar e agendar uma conversa, Flávio quem possui o contato do pessoal, pegar detalhe da negociação",13/04/2026,,,
03/04/2026,OPP-VIA-0426-017,VIAÇÃO SANTA BRÍGIDA,Felipe Hanke,,Proposta,Parado,,0%,"Tentar aproximar e agendar uma conversa, Flávio quem possui o contato do pessoal, pegar detalhe da negociação",12/05/2026,,,
03/04/2026,OPP-VIA-0426-015,VIAÇÃO SÃO GABRIEL,Felipe Hanke," R$  670.000,00 ",,,,100%,,03/04/2026,,,12/05/2026
13/04/2026,OPP-VIA-0426-015,VIAÇÃO SÃO GABRIEL,Felipe Hanke," R$ 670.000,00 ", Negociação ,Aguardando processo interno,,100%,Previsão de envio da proposta dia 15/04,13/04/2026,,,
03/04/2026,OPP-VIA-0426-015,VIAÇÃO SÃO GABRIEL,Felipe Hanke," R$  1.599.067,75 ",Proposta,Aguardando processo interno,,100%,Previsão de envio da proposta dia 15/04,12/05/2026,,,
13/04/2026,OPP-XCM-0426-011,XCMG,Felipe Hanke," R$  419.389,00 ",Negociação,Aguardando parceiro,,0%,"Proposta enviada, Rodrigo disse que agora é com setor de compras e que ele não tem mais controle da negociação, na Intermodal vi ele muito proximo no Stand da Nansen, verificar avanço.",12/05/2026,,,
13/04/2026,OPP-XCM-0426-026,XCMG,Felipe Hanke,, Negociação ,Aguardando processo interno,,,"Proposta enviada, Rodrigo disse que enviará para compras, aguardar retorno",13/04/2026,,,12/05/2026
